study_program,study_program_area,
Administrasi Bisnis,ekonomi,
Administrasi Pendidikan,sosial,
Administrasi Publik,sosial,
Agribisnis,pertanian,
Agribisnis (Kampus Kota Kediri),pertanian,
Agrobisnis Perikanan,pertanian,
Agroekoteknologi,pertanian,
Agroekoteknologi (Kampus Kota Kediri),pertanian,
Agronomi,pertanian,
Agroteknologi,pertanian,
Agroteknologi (Kampus Kab. Morowali),pertanian,
Agroteknologi Kampus Kab. Tojo Una-una,pertanian,
Aktuaria,mipa,
Akuakultur,pertanian,
Akuakultur (Kampus Kota Kediri),pertanian,
Akuakultur K. Banyuwangi,pertanian,
Akuntansi,ekonomi,
Akuntansi K. Banyuwangi,pertanian,
Antropologi,humaniora,
Antropologi Budaya,humaniora,
Antropologi Sosial,humaniora,
Arkeologi,humaniora,
Arsitektur,teknik,
Arsitektur Interior,teknik,
Astronomi,teknik,
Bahasa dan Kebudayaan Jepang,humaniora,
Bahasa Dan Kebudayaan Korea,humaniora,
Bahasa dan Sastra Indonesia,humaniora,
Bahasa dan Sastra Inggris,humaniora,
Bahasa dan Sastra Prancis,humaniora,
Bahasa Mandarin,humaniora,
Bahasa Mandarin dan Kebudayaan Tiongkok,humaniora,
Bimbingan Dan Konseling,humaniora,
Biologi,mipa,
Bioteknologi,mipa,
Bisnis Islam,ekonomi,
Budidaya Perairan,pertanian,
Desain Interior,seni,
Desain Komunikasi Visual,seni,
Desain Produk,seni,
Ekonomi,ekonomi,
Ekonomi dan Pembangunan,ekonomi,
Ekonomi Islam,ekonomi,
Ekonomi Pembangunan,ekonomi,
Ekonomi Pertanian dan Agribisnis,ekonomi,
"Ekonomi, Keuangan dan Perbankan",ekonomi,
Elektronika dan Instrumentasi,ekonomi,
Etnomusikologi,seni,
Farmasi,kesehatan,
Farmasi Klinik Dan Komunitas,kesehatan,
Filsafat,humaniora,
Fisika,mipa,
Fisioterapi,kesehatan,
Geofisika,mipa,
Geografi,mipa,
Geografi Lingkungan,mipa,
Geologi,mipa,
Gizi,kesehatan,
Gizi Kesehatan,kesehatan,
Higiene Gigi,kesehatan,
Hubungan Internasional,sosial,
Hubungan Masyarakat,humaniora,
Hukum,humaniora,
Hukum Administrasi Negara,humaniora,
Ilmu Administrasi Bisnis,ekonomi,
Ilmu Administrasi Fiskal,ekonomi,
Ilmu Administrasi Negara,sosial,
Ilmu Administrasi Niaga,sosial,
Ilmu Administrasi Publik,sosial,
Ilmu Aktuaria,mipa,
Ilmu dan Industri Peternakan,mipa,
Ilmu dan Teknologi Pangan,pertanian,
Ilmu Ekonomi,ekonomi,
Ilmu Filsafat,humaniora,
Ilmu Gizi,kesehatan,
Ilmu Hubungan Internasional,sosial,
Ilmu Hukum,humaniora,
Ilmu Informasi dan Perpustakaan,sosial,
Ilmu Kelautan,teknik,
Ilmu Keperawatan,kesehatan,
Ilmu Kesehatan Masyarakat,kesehatan,
Ilmu Kesejahteraan Sosial,sosial,
Ilmu Komputasi,teknik,
Ilmu Komputer,teknik,
Ilmu Komunikasi,sosial,
Ilmu Pemerintahan,sosial,
Ilmu Perpustakaan,humaniora,
Ilmu Politik,humaniora,
Ilmu Sejarah,humaniora,
Ilmu Tanah,mipa,
Informatika,teknik,
Instrumentasi,teknik,
Kartografi dan Penginderaan Jauh,mipa,
Kebidanan,kesehatan,
Kedokteran,kesehatan,
Kedokteran Gigi,kesehatan,
Kedokteran Hewan,kesehatan,
Kedokteran Hewan K. Banyuwangi,kesehatan,
Kehutanan,mipa,
Kehutanan (budidaya Hutan),mipa,
Kehutanan (konservasi Sd Hutan),mipa,
Kehutanan (manajemen Hutan),mipa,
Kehutanan (tek Hasil Hutan),mipa,
Keperawatan,kesehatan,
Kesehatan Lingkungan,kesehatan,
Kesehatan Masyarakat,kesehatan,
Kesehatan Masyarakat K. Banyuwangi,kesehatan,
Keselamatan dan Kesehatan Kerja,kesehatan,
Keteknikan Pertanian,pertanian,
Kewirausahaan,ekonomi,
Kimia,mipa,
Konservasi Hutan,teknik,
Kriminologi,sosial,
Kriya,seni,
Kriya Seni,seni,
Manajemen,ekonomi,
Manajemen (Kampus Kab.Morowali),ekonomi,
Manajemen Bisnis,ekonomi,
Manajemen dan Kebijakan Publik,ekonomi,
Manajemen Kampus Kab. Tojo Una-una,ekonomi,
Manajemen Rekayasa Industri,teknik,
Manajemen Sumber Daya Perairan,teknik,
Manajemen Sumberdaya Akuatik,mipa,
Matematika,mipa,
Meteorologi,mipa,
Mikrobiologi,mipa,
Mikrobiologi Pertanian,mipa,
Oseanografi,teknik,
Pariwisata,sosial,
Pemanfaatan Sumber Daya Perikanan,pertanian,
Pembangunan Sosial dan Kesejahteraan,humaniora,
Pembangunan Wilayah,humaniora,
Pemuliaan Tanaman,mipa,
Pendidikan Bahasa Dan Sastra Indonesia,pendidikan,
Pendidikan Bahasa Inggris,pendidikan,
Pendidikan Bahasa Jepang,pendidikan,
Pendidikan Biologi,pendidikan,
Pendidikan Dokter,kesehatan,
Pendidikan Dokter Gigi,kesehatan,
Pendidikan Dokter Hewan,kesehatan,
Pendidikan Fisika,pendidikan,
Pendidikan Geografi,pendidikan,
Pendidikan Guru Pendidikan Anak Usia Dini,pendidikan,
Pendidikan Guru Sekolah Dasar,pendidikan,
"Pendidikan Jasmani, Kesehatan Dan Rekreasi",pendidikan,
Pendidikan Kimia,pendidikan,
Pendidikan Matematika,pendidikan,
Pendidikan Pancasila Dan Kewarganegaraan,pendidikan,
Pendidikan Sejarah,pendidikan,
Pendidikan Teknologi Informasi,pendidikan,
Penyuluhan dan Komunikasi Pertanian,mipa,
Perencanaan Wilayah Dan Kota,teknik,
Perikanan Tangkap,teknik,
Perpajakan,ekonomi,
Perpustakaan dan Sains Informasi,sosial,
Peternakan,pertanian,
Peternakan (Kampus kota Kediri),pertanian,
PJJ Informatika,teknik,
Politik dan Pemerintahan,sosial,
Proteksi Tanaman,pertanian,
Psikologi,humaniora,
PSKGJ Pendidikan Bahasa Inggris,pendidikan,
PSKGJ Pendidikan Bahasa Sastra Indonesia dan Daerah,pendidikan,
PSKGJ Pendidikan Biologi,pendidikan,
PSKGJ Pendidikan Fisika,pendidikan,
PSKGJ Pendidikan Guru Sekolah Dasar(PGSD),pendidikan,
PSKGJ Pendidikan Kimia,pendidikan,
PSKGJ Pendidikan Matematika,pendidikan,
PSKGJ Pendidikan Pancasila dan Kewarganegaraan,pendidikan,
PSKGJ Pendidikan Sejarah,pendidikan,
Rekayasa Hayati,mipa,
Rekayasa Infrastruktur Lingkungan,teknik,
Rekayasa Kehutanan,teknik,
Rekayasa Nanoteknologi,teknik,
Rekayasa Perangkat Lunak,teknik,
Rekayasa Pertanian,pertanian,
Sains Aktuaria,mipa,
Sains Dan Teknologi Farmasi,kesehatan,
Sastra Arab,humaniora,
Sastra Batak,humaniora,
Sastra Belanda,humaniora,
Sastra Cina,humaniora,
Sastra Daerah,humaniora,
Sastra Indonesia,humaniora,
Sastra Inggris,humaniora,
Sastra Jawa,humaniora,
Sastra Jepang,humaniora,
Sastra Jerman,humaniora,
Sastra Melayu,humaniora,
Sastra Perancis,humaniora,
Sastra Prancis,humaniora,
Sastra Rusia,humaniora,
Sejarah,humaniora,
Seni Rupa,seni,
Seni Rupa Murni,seni,
Sistem dan Teknologi Informasi,teknik,
Sistem Informasi,teknik,
Sistem Komputer,teknik,
Sosial Ekonomi Perikanan,ekonomi,
Sosial Ekonomi Perikanan (Kampus Kota Kediri),ekonomi,
Sosiologi,sosial,
Statistika,mipa,
Studi Kejepangan,humaniora,
Studi Pembangunan,teknik,
Teknik Bioenergi dan Kemurgi,teknik,
Teknik Biomedik,teknik,
Teknik Biomedis,teknik,
Teknik dan Pengelolaan Sumber Daya Air,teknik,
Teknik Dirgantara,teknik,
Teknik Elektro,teknik,
Teknik Fisika,teknik,
Teknik Geodesi,teknik,
Teknik Geodesi Dan Geomatika,teknik,
Teknik Geofisika,teknik,
Teknik Geologi,teknik,
Teknik Geomatika,teknik,
Teknik Industri,teknik,
Teknik Informatika,teknik,
Teknik Kelautan,teknik,
Teknik Kimia,teknik,
Teknik Komputer,teknik,
Teknik Lingkungan,teknik,
Teknik Logistik,teknik,
Teknik Material,teknik,
Teknik Mesin,teknik,
Teknik Metalurgi,teknik,
Teknik Metalurgi dan Material,teknik,
Teknik Nuklir,teknik,
Teknik Pangan,teknik,
Teknik Pengairan,teknik,
Teknik Perkapalan,teknik,
Teknik Perminyakan,teknik,
Teknik Pertambangan,teknik,
Teknik Pertanian,teknik,
Teknik Robotika dan Kecerdasan Buatan,teknik,
Teknik Sipil,teknik,
Teknik Sipil (Kampus Kab. Morowali),teknik,
Teknik Sipil Kampus Kab Tojo Una-una,teknik,
Teknik Sistem Perkapalan,teknik,
Teknik Telekomunikasi,teknik,
Teknik Tenaga Listrik,teknik,
Teknik Transportasi Laut,teknik,
Teknologi Bioproses,teknik,
Teknologi Hasil Perikanan,pertanian,
Teknologi Hasil Pertanian,pertanian,
Teknologi Industri Pertanian,pertanian,
Teknologi Informasi,teknik,
Teknologi Pangan,pertanian,
Teknologi Pangan dan Hasil Pertanian,teknik,
Teknologi Pasca Panen,pertanian,
Teknologi Sains Data,teknik,
